Timestamp : 13|01_01:05
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,7,4,0,0,4,7,4,0,0,4
3,7,4,0,0,4,0,0,0,0,0
4,7,14,0,0,14,10,10,0,0,10
5,6,14,1,0,15,0,0,1,0,1
6,6,17,1,0,18,3,3,0,0,3
7,7,20,1,0,21,4,3,0,0,3
8,8,23,1,0,24,4,3,0,0,3
9,8,29,1,0,30,6,6,0,0,6
10,10,37,2,0,39,11,8,1,0,9
11,11,40,2,0,42,4,3,0,0,3
12,12,45,2,0,47,6,5,0,0,5
13,12,49,2,0,51,4,4,0,0,4
14,14,53,2,0,55,6,4,0,0,4
15,15,57,2,0,59,5,4,0,0,4
16,19,67,2,0,69,14,10,0,0,10
17,22,70,2,0,72,6,3,0,0,3
18,24,80,4,0,84,14,10,2,0,12
19,22,85,7,0,92,6,5,3,0,8
20,25,97,7,0,104,15,12,0,0,12
21,29,107,7,0,114,14,10,0,0,10
22,29,114,8,0,122,8,7,1,0,8
23,28,126,10,3,139,16,12,2,3,17
24,28,142,10,3,155,16,16,0,0,16
25,27,152,11,3,166,10,10,1,0,11
26,29,175,11,6,192,28,23,0,3,26
27,28,184,11,7,202,9,9,0,1,10
28,34,205,11,7,223,27,21,0,0,21
29,34,212,12,8,232,9,7,1,1,9
30,42,228,12,8,248,24,16,0,0,16
31,42,250,13,8,271,23,22,1,0,23
32,45,272,13,9,294,26,22,0,1,23
33,52,300,14,10,324,37,28,1,1,30
34,61,325,16,10,351,36,25,2,0,27
35,66,342,16,11,369,23,17,0,1,18
36,74,367,17,11,395,34,25,1,0,26
37,74,391,21,12,424,29,24,4,1,29
38,80,420,23,12,455,37,29,2,0,31
39,87,457,24,14,495,47,37,1,2,40
40,89,493,27,16,536,43,36,3,2,41
41,97,534,30,16,580,52,41,3,0,44
42,104,594,33,17,644,71,60,3,1,64
43,112,650,34,20,704,68,56,1,3,60
44,122,708,36,21,765,71,58,2,1,61
45,135,777,42,22,841,89,69,6,1,76
46,141,840,45,23,908,73,63,3,1,67
47,153,915,48,24,987,91,75,3,1,79
48,165,995,54,24,1073,98,80,6,0,86
49,173,1086,62,25,1173,108,91,8,1,100
50,182,1159,69,27,1255,91,73,7,2,82
51,206,1263,74,32,1369,138,104,5,5,114
52,228,1361,77,33,1471,124,98,3,1,102
53,264,1487,80,35,1602,167,126,3,2,131
54,293,1628,84,37,1749,176,141,4,2,147
55,313,1780,89,40,1909,180,152,5,3,160
56,347,1949,93,44,2086,211,169,4,4,177
57,368,2105,106,46,2257,192,156,13,2,171
58,405,2308,113,47,2468,248,203,7,1,211
59,463,2515,124,49,2688,278,207,11,2,220
60,519,2738,136,52,2926,294,223,12,3,238
61,568,3016,148,56,3220,343,278,12,4,294
62,612,3294,157,60,3511,335,278,9,4,291
63,664,3574,170,66,3810,351,280,13,6,299
64,710,3880,186,73,4139,375,306,16,7,329
65,776,4240,205,79,4524,451,360,19,6,385
66,850,4630,226,88,4944,494,390,21,9,420
67,926,5070,249,98,5417,549,440,23,10,473
68,990,5529,272,115,5916,563,459,23,17,499
69,1087,6041,296,130,6467,648,512,24,15,551
70,1157,6528,322,140,6990,593,487,26,10,523
71,1263,7124,359,150,7633,749,596,37,10,643
72,1363,7748,401,158,8307,774,624,42,8,674
73,1507,8503,434,169,9106,943,755,33,11,799
74,1621,9187,470,186,9843,851,684,36,17,737
75,1749,10009,520,205,10734,1019,822,50,19,891
76,1879,10809,572,225,11606,1002,800,52,20,872
77,2085,11770,622,243,12635,1235,961,50,18,1029
78,2225,12737,669,264,13670,1175,967,47,21,1035
79,2406,13858,717,283,14858,1369,1121,48,19,1188
80,2599,14879,784,313,15976,1311,1021,67,30,1118
81,2847,16182,846,337,17365,1637,1303,62,24,1389
82,3052,17393,914,366,18673,1513,1211,68,29,1308
83,3316,18874,985,404,20263,1854,1481,71,38,1590
84,3570,20278,1050,443,21771,1762,1404,65,39,1508
85,3913,22041,1111,473,23625,2197,1763,61,30,1854
86,4160,23685,1204,522,25411,2033,1644,93,49,1786
87,4545,25742,1304,560,27606,2580,2057,100,38,2195
88,4883,27718,1423,596,29737,2469,1976,119,36,2131
89,5300,30065,1536,651,32252,2932,2347,113,55,2515
90,5730,32471,1662,707,34840,3018,2406,126,56,2588
91,6265,35358,1791,757,37906,3601,2887,129,50,3066
92,6733,38213,1934,820,40967,3529,2855,143,63,3061
93,7331,41489,2086,882,44457,4088,3276,152,62,3490
94,7923,44827,2261,963,48051,4186,3338,175,81,3594
95,8626,48598,2468,1029,52095,4747,3771,207,66,4044
96,9335,52468,2674,1122,56264,4878,3870,206,93,4169
97,10068,56973,2901,1244,61118,5587,4505,227,122,4854
98,10868,61672,3161,1338,66171,5853,4699,260,94,5053
99,11829,66773,3398,1456,71627,6417,5101,237,118,5456
100,12826,72316,3699,1588,77603,6973,5543,301,132,5976
101,13928,78404,4031,1713,84148,7647,6088,332,125,6545
102,15081,84897,4379,1832,91108,8113,6493,348,119,6960
103,16327,91922,4752,1993,98667,8805,7025,373,161,7559
104,17687,99553,5142,2169,106864,9557,7631,390,176,8197
105,19121,107529,5563,2361,115453,10023,7976,421,192,8589
106,20747,116564,6013,2547,125124,11297,9035,450,186,9671
107,22374,125993,6499,2761,135253,11756,9429,486,214,10129
108,24200,136423,7018,3035,146476,13049,10430,519,274,11223
109,26138,147686,7595,3306,158587,14049,11263,577,271,12111
110,28197,159971,8239,3585,171795,15267,12285,644,279,13208
111,30572,172918,8877,3877,185672,16252,12947,638,292,13877
112,33195,187232,9628,4180,201040,17991,14314,751,303,15368
113,35967,202643,10398,4509,217550,19282,15411,770,329,16510
114,39053,219555,11273,4888,235716,21252,16912,875,379,18166
115,42460,237821,12155,5267,255243,22934,18266,882,379,19527
116,45981,257532,13220,5660,276412,24690,19711,1065,393,21169
117,49762,278772,14311,6165,299248,26617,21240,1091,505,22836
118,53704,301698,15572,6706,323976,28670,22926,1261,541,24728
119,58057,326857,16870,7257,350984,31361,25159,1298,551,27008
120,62894,353847,18281,7893,380021,33874,26990,1411,636,29037
121,68091,383253,19784,8588,411625,36801,29406,1503,695,31604
122,73679,414801,21437,9273,445511,39474,31548,1653,685,33886
123,79792,449670,23060,10074,482804,43406,34869,1623,801,37293
124,86199,486829,25074,10911,522814,46417,37159,2014,837,40010
125,93237,526853,27156,11817,565826,50050,40024,2082,906,43012
126,100866,570478,29365,12809,612652,54455,43625,2209,992,46826
127,109215,617777,31839,13905,663521,59218,47299,2474,1096,50869
128,117983,668758,34507,15086,718351,63598,50981,2668,1181,54830
129,127768,724016,37363,16326,777705,69139,55258,2856,1240,59354
130,138232,783708,40322,17664,841694,74453,59692,2959,1338,63989
131,149574,848308,43628,19131,911067,80715,64600,3306,1467,69373
132,161714,918053,47144,20700,985897,86970,69745,3516,1569,74830
133,175037,993571,51080,22364,1067015,94441,75518,3936,1664,81118
134,189535,1075412,55310,24261,1154983,102466,81841,4230,1897,87968
135,204912,1163526,59916,26285,1249727,110121,88114,4606,2024,94744
136,221865,1259137,64799,28488,1352424,119650,95611,4883,2203,102697
137,240214,1362579,70045,30871,1463495,129420,103442,5246,2383,111071
138,259648,1473743,75875,33406,1583024,138963,111164,5830,2535,119529
139,281150,1595413,82098,36140,1713651,152129,121670,6223,2734,130627
140,303994,1725222,88950,39035,1853207,162400,129809,6852,2895,139556
141,328994,1868585,96120,42271,2006976,178769,143363,7170,3236,153769
142,355652,2021163,104024,45788,2170975,190657,152578,7904,3517,163999
143,385060,2188076,112523,49704,2350303,208736,166913,8499,3916,179328
144,416520,2367381,121723,53830,2542934,224091,179305,9200,4126,192631
145,451231,2563049,131553,58199,2752801,244578,195668,9830,4369,209867
146,488409,2773186,142262,62882,2978330,262707,210137,10709,4683,225529
147,528789,3002454,153962,67979,3224395,286445,229268,11700,5097,246065
148,571816,3249462,166699,73529,3489690,308322,247008,12737,5550,265295
149,619245,3517360,180446,79522,3777328,335067,267898,13747,5993,287638
150,670376,3806603,195247,86077,4087927,361730,289243,14801,6555,310599
151,725698,4119757,211284,93139,4424180,391575,313154,16037,7062,336253
152,784804,4456372,228891,100906,4786169,421095,336615,17607,7767,361989
153,849472,4821640,247482,109218,5178340,456839,365268,18591,8312,392171
154,918571,5215870,267717,118251,5601838,492597,394230,20235,9033,423498
155,993935,5644178,289501,127949,6061628,535154,428308,21784,9698,459790
156,1075017,6105881,313184,138507,6557572,577026,461703,23683,10558,495944
157,1163360,6607046,338719,150051,7095816,626587,501165,25535,11544,538244
158,1259125,7148918,366454,162454,7677826,677775,541872,27735,12403,582010
159,1363274,7736902,396573,175878,8309353,735676,587984,30119,13424,631527
160,1475345,8372263,429337,190328,8991928,794646,635361,32764,14450,682575
161,1596183,9060485,464489,206034,9731008,859918,688222,35152,15706,739080
162,1727054,9802374,502885,222759,10528018,927881,741889,38396,16725,797010
163,1869429,10607963,543979,240844,11392786,1007143,805589,41094,18085,864768
164,2022199,11478208,588930,260484,12327622,1087606,870245,44951,19640,934836
165,2188293,12420273,637174,282090,13339537,1178009,942065,48244,21606,1011915
166,2368759,13439673,689551,304994,14434218,1275147,1019400,52377,22904,1094681
167,2563656,14543320,746397,330134,15619851,1380530,1103647,56846,25140,1185633
168,2774386,15739607,807950,356993,16904550,1495429,1196287,61553,26859,1284699
169,3002795,17033837,874006,386099,18293942,1617801,1294230,66056,29106,1389392
170,3249806,18435054,946222,417993,19799269,1752338,1401217,72216,31894,1505327
