mois,vivants,morts_juv_cum,morts_enf_cum,morts_adult_cum,morts_total_cum,naiss_mois,morts_juv_mois,morts_enf_mois,morts_adult_mois,morts_mois,source_file
1,3,0,0,1,1,0,0,0,1,1,SimulationLapin_192_mois_13|01_00:57_0.csv
2,4,3,0,1,4,4,3,0,0,3,SimulationLapin_192_mois_13|01_00:57_0.csv
3,4,3,0,1,4,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
4,5,6,0,1,7,4,3,0,0,3,SimulationLapin_192_mois_13|01_00:57_0.csv
5,5,6,0,1,7,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
6,5,6,0,1,7,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
7,5,11,0,1,12,5,5,0,0,5,SimulationLapin_192_mois_13|01_00:57_0.csv
8,5,11,0,1,12,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
9,6,21,0,1,22,11,10,0,0,10,SimulationLapin_192_mois_13|01_00:57_0.csv
10,6,21,0,1,22,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
11,8,30,0,2,32,12,9,0,1,10,SimulationLapin_192_mois_13|01_00:57_0.csv
12,7,30,1,2,33,0,0,1,0,1,SimulationLapin_192_mois_13|01_00:57_0.csv
13,8,38,2,2,42,10,8,1,0,9,SimulationLapin_192_mois_13|01_00:57_0.csv
14,8,38,2,2,42,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
15,10,48,2,2,52,12,10,0,0,10,SimulationLapin_192_mois_13|01_00:57_0.csv
16,10,48,2,2,52,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
17,13,58,3,2,63,14,10,1,0,11,SimulationLapin_192_mois_13|01_00:57_0.csv
18,13,63,3,2,68,5,5,0,0,5,SimulationLapin_192_mois_13|01_00:57_0.csv
19,16,77,3,2,82,17,14,0,0,14,SimulationLapin_192_mois_13|01_00:57_0.csv
20,17,79,3,2,84,3,2,0,0,2,SimulationLapin_192_mois_13|01_00:57_0.csv
21,19,95,3,2,100,18,16,0,0,16,SimulationLapin_192_mois_13|01_00:57_0.csv
22,19,95,3,2,100,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
23,20,117,4,2,123,24,22,1,0,23,SimulationLapin_192_mois_13|01_00:57_0.csv
24,24,128,5,2,135,16,11,1,0,12,SimulationLapin_192_mois_13|01_00:57_0.csv
25,31,147,5,2,154,26,19,0,0,19,SimulationLapin_192_mois_13|01_00:57_0.csv
26,36,161,6,2,169,20,14,1,0,15,SimulationLapin_192_mois_13|01_00:57_0.csv
27,43,185,6,2,193,31,24,0,0,24,SimulationLapin_192_mois_13|01_00:57_0.csv
28,43,200,9,3,212,19,15,3,1,19,SimulationLapin_192_mois_13|01_00:57_0.csv
29,50,215,10,4,229,24,15,1,1,17,SimulationLapin_192_mois_13|01_00:57_0.csv
30,55,231,10,4,245,21,16,0,0,16,SimulationLapin_192_mois_13|01_00:57_0.csv
31,59,255,11,4,270,29,24,1,0,25,SimulationLapin_192_mois_13|01_00:57_0.csv
32,59,282,13,5,300,30,27,2,1,30,SimulationLapin_192_mois_13|01_00:57_0.csv
33,61,317,15,6,338,40,35,2,1,38,SimulationLapin_192_mois_13|01_00:57_0.csv
34,66,340,17,6,363,30,23,2,0,25,SimulationLapin_192_mois_13|01_00:57_0.csv
35,70,380,18,6,404,45,40,1,0,41,SimulationLapin_192_mois_13|01_00:57_0.csv
