mois,moy_vivants,moy_naiss_mois,moy_morts_mois,moy_morts_juv_mois,moy_morts_enf_mois,moy_morts_adult_mois,med_vivants,std_vivants
1,3.90625,0.0,0.09375,0.0,0.0,0.09375,4.0,0.29148059540902554
2,5.46875,8.25,6.6875,6.53125,0.0,0.15625,5.0,1.1452176376130434
3,5.375,0.0,0.09375,0.0,0.09375,0.0,5.0,1.1388041973930374
4,6.9375,8.8125,7.25,7.09375,0.09375,0.0625,7.0,1.6758859597239903
5,6.84375,0.0,0.09375,0.0,0.09375,0.0,7.0,1.6790878290012108
6,7.84375,7.40625,6.40625,6.25,0.0625,0.09375,8.0,1.8219044808935512
7,7.75,0.65625,0.75,0.53125,0.15625,0.0625,8.0,1.8874586088176872
8,9.125,7.71875,6.34375,6.15625,0.15625,0.03125,9.0,2.190176933491904
9,9.25,2.28125,2.15625,1.84375,0.25,0.0625,9.0,2.6220221204253784
10,10.6875,9.34375,7.90625,7.5625,0.21875,0.125,11.0,3.2923917977664807
11,11.09375,3.78125,3.375,2.96875,0.3125,0.09375,11.0,3.3200091773216527
12,13.0625,10.375,8.40625,8.15625,0.21875,0.03125,13.0,4.256887800964456
13,13.15625,4.34375,4.25,3.6875,0.40625,0.15625,13.0,3.9930359299034612
14,14.75,10.84375,9.25,8.75,0.34375,0.15625,14.5,4.723610906922797
15,15.21875,5.34375,4.875,4.4375,0.40625,0.03125,16.0,4.833052703778431
16,16.4375,10.5625,9.34375,8.625,0.625,0.09375,16.5,5.53363296126514
17,17.34375,6.875,5.96875,5.3125,0.46875,0.1875,18.0,6.17256720801807
18,18.5,9.78125,8.625,8.125,0.34375,0.15625,19.0,6.873863542433759
19,20.5,14.0,12.0,11.3125,0.53125,0.15625,21.0,7.004462863060951
20,22.96875,13.21875,10.75,10.21875,0.34375,0.1875,23.0,8.297154538605389
21,25.0625,15.875,13.78125,12.96875,0.53125,0.28125,25.5,8.598464615848576
22,26.375,13.875,12.5625,11.40625,0.90625,0.25,27.0,9.026869612440406
23,28.78125,17.375,14.96875,13.90625,0.78125,0.28125,28.0,9.548345324583732
24,30.71875,15.90625,13.96875,12.71875,0.9375,0.3125,30.5,10.823107152638748
25,33.6875,18.53125,15.5625,14.71875,0.4375,0.40625,31.5,12.251116020591759
26,36.65625,17.28125,14.3125,13.40625,0.53125,0.375,36.5,13.471287463991704
27,40.46875,24.09375,20.28125,18.8125,1.125,0.34375,38.5,16.029239640029715
28,42.90625,20.65625,18.21875,16.6875,1.0,0.53125,43.0,16.659005400608407
29,47.5,28.21875,23.625,22.21875,1.09375,0.3125,46.5,18.505066873697054
30,50.03125,23.09375,20.5625,19.0,1.125,0.4375,49.5,19.94912964110214
31,54.8125,35.6875,30.90625,29.25,1.3125,0.34375,52.5,21.190265306267403
32,58.0,26.46875,23.28125,21.59375,0.96875,0.71875,54.5,23.040724814987918
33,64.0625,40.0,33.9375,31.78125,1.5625,0.59375,59.5,25.437346436882915
34,67.875,31.71875,27.90625,25.6875,1.59375,0.625,65.0,26.743866119168334
35,74.5,45.90625,39.28125,36.875,1.46875,0.9375,70.5,29.63844631555439
36,79.71875,37.4375,32.21875,29.90625,1.90625,0.40625,77.0,32.03243900232232
37,87.59375,51.65625,43.78125,41.09375,1.78125,0.90625,82.0,35.84590228934822
38,93.625,45.78125,39.75,36.9375,1.9375,0.875,91.0,37.29087522437627
39,102.96875,61.96875,52.625,49.5625,2.15625,0.90625,98.0,41.54627267803335
40,109.75,53.53125,46.75,42.78125,2.65625,1.3125,107.0,43.94741175541513
41,120.34375,70.71875,60.125,56.21875,2.84375,1.0625,116.5,47.58519292739602
42,128.28125,63.5625,55.625,51.625,3.0,1.0,122.0,50.25885144367608
43,140.4375,85.6875,73.53125,69.625,2.6875,1.21875,138.5,55.4836335665753
44,150.0625,78.375,68.75,63.625,3.5,1.625,147.0,60.17159706830126
45,163.0,99.34375,86.40625,80.53125,3.90625,1.96875,160.5,66.82813778641449
46,174.21875,86.03125,74.8125,69.34375,3.78125,1.6875,171.0,70.02041415499839
47,188.90625,110.28125,95.59375,89.28125,4.71875,1.59375,179.0,79.09620699463092
48,202.8125,104.875,90.96875,84.0625,4.75,2.15625,194.0,84.96633064779247
49,222.84375,129.28125,109.25,103.1875,4.5,1.5625,206.5,93.76436869055055
50,239.53125,122.71875,106.03125,98.75,5.34375,1.9375,229.5,98.72024373672048
51,263.28125,152.5625,128.8125,120.8125,5.5,2.5,248.0,107.93089061263925
52,282.59375,143.5,124.1875,114.71875,7.03125,2.4375,274.5,115.40333058858181
53,308.25,170.46875,144.8125,135.78125,6.21875,2.8125,298.5,128.0859086707043
54,333.0,168.21875,143.46875,133.34375,7.0625,3.0625,319.5,138.1036748243869
55,360.21875,202.6875,175.46875,165.0,7.1875,3.28125,339.5,151.27039828875144
56,388.9375,202.0,173.28125,161.28125,8.03125,3.96875,370.0,163.57565862239406
57,420.75,232.5625,200.75,187.625,8.75,4.375,401.0,174.729970239796
58,455.71875,237.4375,202.46875,187.71875,10.21875,4.53125,442.0,186.63169518717206
59,494.90625,273.84375,234.65625,218.46875,11.34375,4.84375,483.0,202.793977871478
60,533.9375,283.4375,244.40625,226.6875,12.09375,5.625,522.0,221.53511819517462
61,576.34375,320.40625,278.0,258.59375,13.3125,6.09375,564.0,240.42379371837865
62,622.46875,331.6875,285.5625,266.21875,13.84375,5.5,618.5,260.8335178297404
