Timestamp : 12|11_08:10,,
Mois,Lapins vivants,Lapins morts
1,4,0
2,11,0
3,10,1
4,18,3
5,16,5
6,21,7
7,19,9
8,26,11
9,26,11
10,45,14
11,39,20
12,61,22
13,69,26
14,83,31
15,97,35
16,116,41
17,134,48
18,189,57
19,224,73
20,285,96
21,317,113
22,419,147
23,475,179
24,606,219
25,700,261
26,908,318
27,1030,403
28,1344,489
29,1597,578
30,1972,724
31,2324,853
32,2940,1006
33,3466,1207
34,4216,1468
35,5044,1774
36,6227,2153
37,7545,2602
38,9311,3173
39,11309,3888
40,13734,4761
41,16480,5864
42,19828,7124
43,24006,8665
44,28941,10498
45,35340,12751
46,42353,15539
47,51789,18840
48,62035,22811
49,75457,27646
50,90847,33353
51,110464,40415
52,132975,48923
53,161848,59148
54,194552,71627
55,236350,86749
56,284281,104837
57,345353,126992
58,416237,153305
59,504509,185262
60,608944,223858
61,738127,270613
62,890328,327133
63,1078285,395810
64,1300219,479106
65,1574759,578879
66,1901441,699669
67,2301151,846718
68,2779475,1023825
69,3360440,1238203
70,4061438,1496233
71,4911879,1809545
72,5935384,2187432
73,7179883,2644075
74,8,
