Timestamp : 12|11_08:54
Mois,Lapins vivants,Lapins morts
1,4,0
2,5,7
3,5,7
4,6,13
5,6,13
6,8,20
7,8,20
8,12,26
9,11,27
10,15,39
11,15,39
12,20,49
13,18,51
14,21,62
15,21,62
16,21,78
17,20,83
18,22,90
19,23,101
20,23,106
21,26,124
22,26,130
23,29,140
24,31,166
25,33,178
26,30,207
27,33,223
28,35,243
29,37,256
30,40,280
31,41,301
32,45,326
33,51,347
34,56,383
35,63,406
36,73,443
37,76,480
38,87,523
39,91,560
40,100,602
41,112,640
42,132,707
43,145,759
44,160,831
45,170,898
46,181,985
47,196,1061
48,225,1191
49,243,1278
50,283,1433
51,301,1552
52,331,1707
53,361,1844
54,392,2015
55,423,2208
56,473,2411
57,508,2618
58,537,2876
59,576,3160
60,619,3453
61,675,3720
62,736,4052
63,796,4427
64,874,4805
65,947,5258
66,1017,5691
67,1100,6200
68,1192,6710
69,1307,7342
70,1423,7923
71,1579,8705
72,1703,9386
73,1862,10273
74,1987,11047
75,2125,12063
76,2307,13000
77,2457,14134
78,2628,15321
79,2863,16708
80,3087,18118
81,3409,19692
82,3660,21208
83,3986,23083
84,4266,24919
85,4689,27082
86,5018,29201
87,5471,31807
88,5845,34233
89,6309,37446
90,6779,40380
91,7445,43998
92,7985,47579
93,8776,51859
94,9392,56000
95,10193,60905
96,10923,65877
97,11915,71539
98,12835,77508
99,13952,84085
100,15021,91004
101,16297,98762
102,17527,106800
103,19003,115831
104,20531,125291
105,22374,135940
106,24256,146877
107,26345,159366
108,28472,172631
109,30813,186920
110,33332,202603
111,36153,219328
112,39264,237775
113,42338,257663
114,45816,279068
115,49535,302196
116,53650,327412
117,58059,354227
118,62869,384277
119,68147,415823
120,73836,451176
121,79841,487989
122,86705,528582
123,93643,571592
124,101514,619648
125,109813,670186
126,119275,726503
127,129250,785591
128,140164,851583
129,151632,920448
130,164564,997823
131,177866,1079840
132,192848,1170426
133,208606,1266639
134,226237,1373315
135,244943,1486007
136,265555,1611073
137,287206,1743736
138,311358,1889362
139,336928,2045389
140,364840,2215989
141,394795,2399182
142,427845,2598833
143,463519,2813652
144,502119,3048086
145,543968,3301479
146,589069,3576607
147,638365,3873817
148,691542,4195310
149,749028,4543730
150,811037,4921518
151,878225,5330181
152,950749,5772656
153,1030227,6253622
154,1115748,6771939
155,1208552,7336328
156,1309107,7944042
157,1418582,8605890
158,1536143,9319261
159,1663371,10095214
160,1800992,10931899
161,1951135,11841994
162,2113481,12823121
163,2290158,13890869
164,2479943,15043882
165,2688181,16294374
166,2911899,17646781
167,3154321,19114020
168,3414775,20702725
169,3699527,22424247
170,4006431,24291072
171,4339627,26311625
172,4701621,28502175
173,5094713,30877372
174,5518626,33450177
175,5979079,36233950
176,6476931,39251432
177,7016698,42515532
178,7598815,46056449
179,8230474,49887745
180,8913822,54042917
181,9653120,58541783
182,10457868,63414260
183,11329188,68692520
184,12272584,74408823
185,13292222,80601406
186,14398990,87312349
187,15595489,94579686
188,16893812,102451446
189,18302122,110970285
190,19825177,120207270
191,21474206,130214831
192,23260204,141054104
