Timestamp : 13|01_01:00
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,5,5,0,0,5,6,5,0,0,5
3,5,5,0,0,5,0,0,0,0,0
4,7,13,0,0,13,10,8,0,0,8
5,7,13,0,0,13,0,0,0,0,0
6,10,17,0,0,17,7,4,0,0,4
7,8,17,1,1,19,0,0,1,1,2
8,8,24,1,1,26,7,7,0,0,7
9,10,26,1,1,28,4,2,0,0,2
10,11,36,2,1,39,12,10,1,0,11
11,11,39,2,1,42,3,3,0,0,3
12,14,53,3,1,57,18,14,1,0,15
13,14,57,3,1,61,4,4,0,0,4
14,18,74,3,1,78,21,17,0,0,17
15,18,79,3,1,83,5,5,0,0,5
16,23,89,3,1,93,15,10,0,0,10
17,23,94,4,2,100,7,5,1,1,7
18,28,107,4,2,113,18,13,0,0,13
19,31,120,5,2,127,17,13,1,0,14
20,34,142,6,2,150,26,22,1,0,23
21,39,159,6,3,168,23,17,0,1,18
22,39,178,9,3,190,22,19,3,0,22
23,37,194,11,3,208,16,16,2,0,18
24,42,219,11,5,235,32,25,0,2,27
25,42,239,11,5,255,20,20,0,0,20
26,54,265,12,5,282,39,26,1,0,27
27,59,286,14,5,305,28,21,2,0,23
28,67,330,14,6,350,53,44,0,1,45
29,73,362,15,6,383,39,32,1,0,33
30,82,416,17,8,441,67,54,2,2,58
31,85,452,22,8,482,44,36,5,0,41
32,93,503,23,11,537,63,51,1,3,55
33,100,541,25,11,577,47,38,2,0,40
34,111,589,27,11,627,61,48,2,0,50
35,118,635,32,12,679,59,46,5,1,52
36,135,695,33,13,741,79,60,1,1,62
37,155,765,34,13,812,91,70,1,0,71
38,166,833,38,14,885,84,68,4,1,73
39,184,925,43,15,983,116,92,5,1,98
40,195,995,48,16,1059,87,70,5,1,76
41,207,1095,54,16,1165,118,100,6,0,106
42,214,1188,63,19,1270,112,93,9,3,105
43,232,1319,70,19,1408,156,131,7,0,138
44,263,1419,74,21,1514,137,100,4,2,106
45,293,1566,79,24,1669,185,147,5,3,155
46,313,1672,87,30,1789,140,106,8,6,120
47,350,1843,93,35,1971,219,171,6,5,182
48,368,1992,110,39,2141,188,149,17,4,170
49,409,2182,119,42,2343,243,190,9,3,202
50,427,2361,130,47,2538,213,179,11,5,195
51,468,2584,149,53,2786,289,223,19,6,248
52,494,2771,165,59,2995,235,187,16,6,209
53,537,3018,172,62,3252,300,247,7,3,257
54,576,3208,186,72,3466,253,190,14,10,214
55,617,3467,198,74,3739,314,259,12,2,273
