Timestamp : 27|12_22:46
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,3,0,0,1,1,0,0,0,1,1
2,4,8,0,1,9,9,8,0,0,8
3,4,8,0,1,9,0,0,0,0,0
4,9,12,0,1,13,9,4,0,0,4
5,9,12,0,1,13,0,0,0,0,0
6,9,18,0,1,19,6,6,0,0,6
7,9,18,0,1,19,0,0,0,0,0
8,11,24,0,1,25,8,6,0,0,6
9,10,24,1,1,26,0,0,1,0,1
10,9,32,2,2,36,9,8,1,1,10
11,13,39,2,2,43,11,7,0,0,7
12,16,41,2,2,45,5,2,0,0,2
13,19,47,2,2,51,9,6,0,0,6
14,20,51,3,2,56,6,4,1,0,5
15,23,59,4,2,65,12,8,1,0,9
16,22,62,5,2,69,3,3,1,0,4
17,21,74,6,6,86,16,12,1,4,17
18,21,77,7,6,90,4,3,1,0,4
19,23,90,8,6,104,16,13,1,0,14
20,26,103,8,6,117,16,13,0,0,13
21,28,113,8,6,127,12,10,0,0,10
22,33,121,8,6,135,13,8,0,0,8
23,32,140,8,8,156,20,19,0,2,21
24,39,152,8,8,168,19,12,0,0,12
25,40,167,9,8,184,17,15,1,0,16
26,46,191,11,9,211,33,24,2,1,27
27,51,208,13,9,230,24,17,2,0,19
28,55,235,15,9,259,33,27,2,0,29
29,60,258,16,9,283,29,23,1,0,24
30,59,279,19,11,309,25,21,3,2,26
31,65,307,20,14,341,38,28,1,3,32
32,65,351,24,17,392,51,44,4,3,51
33,65,376,28,17,421,29,25,4,0,29
34,81,428,28,17,473,68,52,0,0,52
35,82,470,30,20,520,48,42,2,3,47
36,83,508,34,20,562,43,38,4,0,42
37,87,542,37,23,602,44,34,3,3,40
38,95,580,38,25,643,49,38,1,2,41
39,98,618,40,25,683,43,38,2,0,40
40,110,668,44,25,737,66,50,4,0,54
41,113,714,48,26,788,54,46,4,1,51
42,112,782,52,27,861,72,68,4,1,73
43,117,831,53,27,911,55,49,1,0,50
44,134,890,56,29,975,81,59,3,2,64
45,149,942,56,29,1027,67,52,0,0,52
46,157,1027,64,31,1122,103,85,8,2,95
47,169,1109,67,34,1210,100,82,3,3,88
48,174,1180,71,39,1290,85,71,4,5,80
49,197,1277,78,40,1395,128,97,7,1,105
50,209,1352,81,46,1479,96,75,3,6,84
51,236,1474,90,49,1613,161,122,9,3,134
52,265,1557,96,49,1702,118,83,6,0,89
53,288,1677,107,54,1838,159,120,11,5,136
54,306,1789,113,58,1960,140,112,6,4,122
55,333,1929,118,59,2106,173,140,5,1,146
56,355,2076,125,63,2264,180,147,7,4,158
57,387,2252,132,66,2450,218,176,7,3,186
58,417,2423,138,68,2629,209,171,6,2,179
59,448,2629,153,73,2855,257,206,15,5,226
60,489,2829,164,82,3075,261,200,11,9,220
61,536,3044,175,90,3309,281,215,11,8,234
62,587,3291,194,95,3580,322,247,19,5,271
63,630,3555,209,105,3869,332,264,15,10,289
64,694,3832,226,113,4171,366,277,17,8,302
65,740,4126,244,118,4488,363,294,18,5,317
66,815,4452,263,125,4840,427,326,19,7,352
67,871,4834,284,131,5249,465,382,21,6,409
68,936,5239,307,144,5690,506,405,23,13,441
69,997,5710,331,156,6197,568,471,24,12,507
70,1080,6150,347,168,6665,551,440,16,12,468
71,1177,6643,374,180,7197,629,493,27,12,532
72,1276,7130,396,190,7716,618,487,22,10,519
73,1383,7731,422,205,8358,749,601,26,15,642
74,1473,8325,460,222,9007,739,594,38,17,649
75,1594,8950,489,233,9672,786,625,29,11,665
76,1714,9682,521,253,10456,904,732,32,20,784
77,1865,10484,556,279,11319,1014,802,35,26,863
78,2009,11337,602,295,12234,1059,853,46,16,915
79,2173,12321,652,316,13289,1219,984,50,21,1055
80,2373,13363,703,338,14404,1315,1042,51,22,1115
81,2571,14469,755,367,15591,1385,1106,52,29,1187
82,2767,15646,834,393,16873,1478,1177,79,26,1282
83,3020,16920,896,412,18228,1608,1274,62,19,1355
84,3266,18368,960,449,19777,1795,1448,64,37,1549
85,3540,19921,1046,484,21451,1948,1553,86,35,1674
86,3835,21614,1136,514,23264,2108,1693,90,30,1813
87,4142,23431,1214,551,25196,2239,1817,78,37,1932
88,4508,25418,1309,592,27319,2489,1987,95,41,2123
89,4831,27496,1416,634,29546,2550,2078,107,42,2227
90,5226,29885,1532,678,32095,2944,2389,116,44,2549
91,5645,32359,1650,745,34754,3078,2474,118,67,2659
92,6157,35145,1783,809,37737,3495,2786,133,64,2983
93,6696,38157,1928,869,40954,3756,3012,145,60,3217
94,7280,41289,2084,942,44315,3945,3132,156,73,3361
95,7843,44791,2270,1008,48069,4317,3502,186,66,3754
96,8449,48384,2480,1090,51954,4491,3593,210,82,3885
97,9201,52418,2679,1173,56270,5068,4034,199,83,4316
98,9994,56750,2893,1271,60914,5437,4332,214,98,4644
99,10812,61466,3119,1380,65965,5869,4716,226,109,5051
100,11672,66571,3394,1496,71461,6356,5105,275,116,5496
101,12714,72146,3653,1611,77410,6991,5575,259,115,5949
102,13733,78118,3962,1755,83835,7444,5972,309,144,6425
103,14882,84676,4266,1907,90849,8163,6558,304,152,7014
104,16092,91545,4625,2069,98239,8600,6869,359,162,7390
105,17452,99138,5013,2235,106386,9507,7593,388,166,8147
106,18865,107204,5416,2450,115070,10097,8066,403,215,8684
107,20502,116132,5822,2628,124582,11149,8928,406,178,9512
108,22207,125671,6296,2824,134791,11914,9539,474,196,10209
109,24131,136054,6825,3053,145932,13065,10383,529,229,11141
110,25996,147126,7381,3309,157816,13749,11072,556,256,11884
111,28249,159600,7967,3560,171127,15564,12474,586,251,13311
112,30509,172449,8665,3857,184971,16104,12849,698,297,13844
113,33102,187042,9377,4185,200604,18226,14593,712,328,15633
114,35829,202642,10145,4531,217318,19441,15600,768,346,16714
115,38854,219448,10978,4921,235347,21054,16806,833,390,18029
116,42110,237522,11882,5309,254713,22622,18074,904,388,19366
117,45521,257130,12917,5734,275781,24479,19608,1035,425,21068
118,49271,278318,13998,6196,298512,26481,21188,1081,462,22731
119,53504,301359,15156,6676,323191,28912,23041,1158,480,24679
120,57739,326232,16430,7272,349934,30978,24873,1274,596,26743
121,62411,353150,17791,7896,378837,33575,26918,1361,624,28903
122,67762,382289,19239,8551,410079,36593,29139,1448,655,31242
123,73333,413958,20796,9301,444055,39547,31669,1557,750,33976
124,79541,448464,22528,10057,481049,43202,34506,1732,756,36994
125,86239,485824,24373,10862,521059,46708,37360,1845,805,40010
126,93490,526341,26397,11755,564493,50685,40517,2024,893,43434
127,101249,569937,28639,12777,611353,54619,43596,2242,1022,46860
128,109808,617403,31025,13798,662226,59432,47466,2386,1021,50873
129,118855,668497,33606,14914,717017,63838,51094,2581,1116,54791
130,128622,724363,36387,16223,776973,69723,55866,2781,1309,59956
131,139354,784573,39421,17642,841636,75395,60210,3034,1419,64663
132,150946,850114,42811,19088,912013,81969,65541,3390,1446,70377
133,163588,920875,46337,20712,987924,88553,70761,3526,1624,75911
134,177255,997825,50130,22486,1070441,96184,76950,3793,1774,82517
135,192192,1081464,54258,24345,1160067,104563,83639,4128,1859,89626
136,208231,1172166,58795,26427,1257388,113360,90702,4537,2082,97321
137,225190,1269294,63803,28590,1361687,121258,97128,5008,2163,104299
138,244193,1374962,68988,30994,1474944,132260,105668,5185,2404,113257
139,264464,1489439,74682,33605,1597726,143053,114477,5694,2611,122782
140,286298,1613730,80902,36464,1731096,155204,124291,6220,2859,133370
141,310030,1748410,87757,39570,1875737,168373,134680,6855,3106,144641
142,335652,1893593,95216,42892,2031701,181586,145183,7459,3322,155964
143,363676,2051234,103116,46507,2200857,197180,157641,7900,3615,169156
144,393921,2222226,111597,50330,2384153,213541,170992,8481,3823,183296
145,426799,2406630,121118,54551,2582299,231024,184404,9521,4221,198146
146,462330,2607031,131190,58976,2797197,250429,200401,10072,4425,214898
147,500730,2824112,142052,64023,3030187,271390,217081,10862,5047,232990
148,542580,3060298,154050,69333,3283681,295344,236186,11998,5310,253494
149,587930,3315221,166814,75001,3557036,318705,254923,12764,5668,273355
150,636560,3591812,180707,81261,3853780,345374,276591,13893,6260,296744
151,689543,3890666,195531,87924,4174121,373324,298854,14824,6663,320341
152,746504,4215282,211843,95327,4522452,405292,324616,16312,7403,348331
153,808768,4566150,229341,103319,4898810,438622,350868,17498,7992,376358
154,876064,4947052,248604,111941,5307597,476083,380902,19263,8622,408787
155,948889,5358466,269325,121316,5749107,514335,411414,20721,9375,441510
156,1028530,5807040,291680,131372,6230092,560626,448574,22355,10056,480985
157,1113499,6289296,316085,142213,6747594,602471,482256,24405,10841,517502
158,1206558,6814464,342378,153994,7310836,656301,525168,26293,11781,563242
159,1306193,7378534,371323,166988,7916845,705644,564070,28945,12994,606009
160,1414369,7995011,402473,181088,8578572,769903,616477,31150,14100,661727
161,1531630,8658040,436058,196239,9290337,829026,663029,33585,15151,711765
162,1659627,9380517,472509,212320,10065346,903006,722477,36451,16081,775009
163,1797651,10158534,511728,229875,10900137,972815,778017,39219,17555,834791
164,1947607,11005886,554343,248870,11809099,1058918,847352,42615,18995,908962
165,2109549,11920666,600529,269470,12790665,1143508,914780,46186,20600,981566
166,2285352,12913301,650494,291981,13855776,1240914,992635,49965,22511,1065111
167,2475025,13986252,704693,316593,15007538,1341435,1072951,54199,24612,1151762
168,2680110,15149396,763533,342644,16255573,1453120,1163144,58840,26051,1248035
169,2903325,16406097,827344,371223,17604664,1572306,1256701,63811,28579,1349091
170,3144600,17770223,896420,401870,19068513,1705124,1364126,69076,30647,1463849
171,3407173,19247331,970706,435296,20653333,1847393,1477108,74286,33426,1584820
172,3690712,20847768,1051472,471528,22370768,2000974,1600437,80766,36232,1717435
173,3997275,22581846,1138812,511018,24231676,2167471,1734078,87340,39490,1860908
174,4330323,24460888,1233671,553016,26247575,2348947,1879042,94859,41998,2015899
175,4690543,26494620,1336504,599268,28430392,2543037,2033732,102833,46252,2182817
176,5080537,28700055,1447612,649508,30797175,2756777,2205435,111108,50240,2366783
177,5502720,31084640,1567859,703380,33355879,2980887,2384585,120247,53872,2558704
178,5960415,33670582,1698168,761556,36130306,3232122,2585942,130309,58176,2774427
179,6453431,36470315,1840294,825066,39135675,3498385,2799733,142126,63510,3005369
180,6991328,39506088,1992490,893524,42392102,3794324,3035773,152196,68458,3256427
181,7572767,42790970,2158170,967770,45916910,4106247,3284882,165680,74246,3524808
182,8204078,46356542,2338030,1048336,49742908,4457309,3565572,179860,80566,3825998
183,8885228,50210895,2532692,1135497,53879084,4817326,3854353,194662,87161,4136176
184,9625325,54393510,2743143,1230091,58366744,5227757,4182615,210451,94594,4487660
185,10424559,58913796,2971774,1332895,63218465,5650955,4520286,228631,102804,4851721
186,11292074,63819981,3218376,1444093,68482450,6131500,4906185,246602,111198,5263985
187,12231129,69125379,3486321,1563760,74175460,6632065,5305398,267945,119667,5693010
188,13248761,74881431,3777007,1693470,80351908,7194080,5756052,290686,129710,6176448
189,14352739,81107944,4089832,1834425,87032201,7784271,6226513,312825,140955,6680293
190,15547659,87864922,4430643,1986275,94281840,8444559,6756978,340811,151850,7249639
191,16840615,95170341,4799342,2151210,102120893,9132009,7305419,368699,164935,7839053
192,18243240,103094754,5198915,2329843,110623512,9905244,7924413,399573,178633,8502619
